Crop,N (Nitrogen),P (Phosphorus),K (Potassium),Temperature (°C),Humidity (%),pH,Rainfall (mm),Waste Type
Rice,1.5,0.3,1.2,20.8,82.0,6.5,202.0,Rice Straw Rice Husk
Maize,1.8,0.2,2.0,22.0,80.5,6.7,210.0,Corn Stover Corn Cobs Corn Leaves
Cotton,2.0,0.4,1.5,24.0,85.0,6.0,180.0,Cotton Stalks Cottonseed Hulls
Wheat,2.1,0.3,1.8,21.5,75.0,6.4,150.0,Wheat Straw Wheat Chaff
Jute,2.5,0.2,1.6,23.0,80.0,7.0,180.0,Jute Stems Jute Waste
Banana,1.4,0.2,1.1,27.0,75.0,6.3,200.0,Banana Leaves Banana Pseudostems
Mango,1.6,0.3,1.3,28.0,80.0,6.8,220.0,Mango Leaves Mango Seed Husks
Pomegranate,1.3,0.2,1.2,26.5,65.0,7.2,160.0,Pomegranate Peel Pomegranate Waste
Coffee,1.0,0.1,1.0,25.0,85.0,6.4,240.0,Coffee Pulp Coffee Husk
Papaya,1.7,0.3,1.4,26.0,80.0,6.6,220.0,Papaya Leaves Papaya Fruit Waste
Grapes,1.2,0.2,1.0,23.0,70.0,6.5,180.0,Grapevine Pruning Grapes Skins
Watermelon,1.1,0.3,1.3,22.5,85.0,6.3,210.0,Watermelon Rinds Watermelon Waste
Apple,0.9,0.2,1.0,20.0,65.0,7.0,150.0,Apple Waste Apple Leaves
Orange,1.4,0.2,1.2,24.0,70.0,6.8,180.0,Orange Peel Orange Waste
Soybean,2.2,0.4,1.9,25.0,80.0,6.5,230.0,Soybean Stalks Soybean Hulls
Lentil,2.1,0.3,1.5,24.0,75.0,6.0,170.0,Lentil Straw Lentil Hulls
Blackgram,2.0,0.3,1.8,23.0,80.0,6.4,160.0,Blackgram Straw Blackgram Waste
Chickpea,2.4,0.4,2.0,24.5,75.0,6.6,200.0,Chickpea Stalks Chickpea Hulls
Pomegranate,1.1456615802616994,0.20548667833708803,1.0131532589510601,26.85293844202919,61.35289248325024,7.2,169.504302910622,Pomegranate Peel Pomegranate Waste
Orange,1.3231303276254585,0.2373174364170228,1.1125967402891983,22.447393808395574,65.27862216498573,7.1,182.000700154651,Orange Peel Orange Waste
Grapes,1.1731178953909047,0.12229989204814551,1.1684764650956625,22.546789036194724,72.44268876890874,6.7,188.13628091461834,Grapevine Pruning Grapes Skins
Coffee,1.2902446845494548,0.008989099731359237,0.9363339051930132,25.122419333659185,85.25011389255245,6.6,230.62711261200502,Coffee Pulp Coffee Husk
Cotton,1.9047227972588165,0.48294795454653106,1.5893431643265363,23.37239644112332,80.24600739681013,6.3,180.05872198079183,Cotton Stalks Cottonseed Hulls
Watermelon,1.0384531079294215,0.36390395949601284,1.534362851190142,21.268445531270274,80.77804694109446,6.6,225.01408598959603,Watermelon Rinds Watermelon Waste
Rice,1.3496410262580838,0.3835061378688568,0.8952279519523976,18.95956575542929,83.76261280950168,7.0,197.62436858461754,Rice Straw Rice Husk
Mango,1.4485297377345354,0.22371919638674265,1.0568966793966603,28.803346693950115,83.03654051916509,6.7,226.3397251257752,Mango Leaves Mango Seed Husks
Banana,1.2980578131262261,0.19061371563211194,0.9113771612767282,28.930557033119523,73.75534131390887,6.2,208.67440830416098,Banana Leaves Banana Pseudostems
Papaya,1.5826329005675317,0.26035231460927544,1.4152094563392603,25.140039086954516,81.79869960854734,6.8,202.73058974820094,Papaya Leaves Papaya Fruit Waste
Coffee,0.8016227528895363,0.022593726308369463,1.2081118533907635,25.650061644576354,80.79399237284692,6.9,245.6078736114507,Coffee Pulp Coffee Husk
Banana,1.6096977075173446,0.24249720116810536,0.8472228587091126,25.719363574498836,70.1561760894194,5.8,216.3416594525633,Banana Leaves Banana Pseudostems
Pomegranate,1.050764825843571,0.2673339992095018,1.097177736325664,27.418921445105926,66.21401491466611,7.0,157.0870675075264,Pomegranate Peel Pomegranate Waste
Watermelon,0.8343371227838452,0.21256713746086298,1.6042710824076538,20.80325969888191,89.92721169444546,6.1,219.1347523044109,Watermelon Rinds Watermelon Waste
Soybean,2.1030837592554943,0.3871228474845836,2.2877672632664994,26.281853008767698,81.90539229103489,7.0,245.87377898840435,Soybean Stalks Soybean Hulls
Pomegranate,1.007779935674787,0.10243270125152543,1.0277509038600607,27.769210588207088,61.40545958255563,7.4,157.29346495978672,Pomegranate Peel Pomegranate Waste
Orange,1.5101156029711515,0.27570760017903495,1.293887076327982,24.311436835337368,68.12654433494033,6.4,192.55878466834486,Orange Peel Orange Waste
Banana,1.2517628270210452,0.20074137039766443,1.0469922997037548,25.90204898290105,70.66796764598533,6.3,213.4189439302259,Banana Leaves Banana Pseudostems
Grapes,1.1622688970990405,0.24513353408700284,0.9680558038628992,24.98377307719051,70.84932533408204,6.2,195.0292440796615,Grapevine Pruning Grapes Skins
Cotton,1.9910127555949337,0.32111974936556176,1.2640409890879118,22.720251157227885,84.60014582336603,6.5,185.80289638763483,Cotton Stalks Cottonseed Hulls
Jute,2.459118190535196,0.21725949726896415,1.6918092794287614,24.449450796881678,83.02454013639442,7.4,161.6586808059723,Jute Stems Jute Waste
Jute,2.469708765282266,0.29719901772579205,1.3677744838994614,23.799008831638332,79.10655805047769,7.1,174.35315179094025,Jute Stems Jute Waste
Jute,2.3522376387054273,0.10602869821022878,1.4188754015276446,21.29844222550793,77.74162919820212,7.0,197.0606628701707,Jute Stems Jute Waste
Banana,1.1868214234917833,0.2555629004026566,1.0997130048398152,28.83344496692964,72.5630247685587,5.9,190.5436091453727,Banana Leaves Banana Pseudostems
Apple,0.6470415047949329,0.17203007249277114,1.1910912381205565,21.185690638228248,64.64142961237694,7.4,157.11866523532677,Apple Waste Apple Leaves
Grapes,1.2242108231830002,0.27064578360813163,1.0986094144185412,21.270918146987576,71.25069728888396,6.2,164.40652555470405,Grapevine Pruning Grapes Skins
Maize,1.786907657393837,0.12437991621232583,1.773868455801694,21.945804410439763,82.97012413540531,6.3,217.9054677047386,Corn Stover Corn Cobs Corn Leaves
Chickpea,2.46777604023832,0.3369593588398992,1.6140155398341456,24.198050085134145,76.31693356603567,6.7,195.154086255521,Chickpea Stalks Chickpea Hulls
Maize,1.7401498399947113,0.12988039385331923,1.6755890050119695,20.69615664762658,85.21294479065403,7.1,216.3004193978589,Corn Stover Corn Cobs Corn Leaves
Blackgram,2.1640956922541195,0.21641236816886505,1.702441936753783,24.233328459369442,82.28762058422878,6.4,145.89576284101338,Blackgram Straw Blackgram Waste
Orange,1.6747697661850955,0.29617814946586585,1.3978282421985995,25.62682775151497,67.13206128315551,7.1,186.51059455120335,Orange Peel Orange Waste
Grapes,1.1906998886728677,0.1932425731798121,0.9224947393659633,22.75563793178702,65.70081849117064,6.4,183.05794738015354,Grapevine Pruning Grapes Skins
Apple,0.8095315785120514,0.2934398777639443,0.6544226896710086,20.49295447051041,68.70363853997796,7.4,153.2547498139869,Apple Waste Apple Leaves
Cotton,1.725820122831719,0.3061729924316019,1.5532664130053868,23.159022259471143,84.43052256862593,5.9,186.4374127830446,Cotton Stalks Cottonseed Hulls
Mango,1.4526382681220433,0.23478225840822564,1.3335300854909335,26.38030563460179,82.97459817956793,6.6,220.48672806970785,Mango Leaves Mango Seed Husks
Blackgram,2.0555671398114574,0.23288060191464952,1.994576032941838,24.211403963322503,83.13386039911241,6.5,151.4921507641192,Blackgram Straw Blackgram Waste
Pomegranate,1.4540324413326977,0.17070775968985547,0.9289084951483275,28.161511923424577,63.19171074682873,7.6,150.45189991771065,Pomegranate Peel Pomegranate Waste
Rice,1.634664795045048,0.3754046310988197,1.0418398563245894,21.52324732440035,79.1976502543831,6.5,185.61202716649248,Rice Straw Rice Husk
Orange,1.5686583534718685,0.18425262699159362,1.2465218422285012,25.268404713405573,66.6545457743837,7.1,185.62728551179706,Orange Peel Orange Waste
Soybean,2.193733984427255,0.40803726477196794,2.106769994554636,25.725938768725158,82.04190797283285,6.3,246.46201195105843,Soybean Stalks Soybean Hulls
Mango,1.651445866060278,0.3332955063439752,1.3092053629884464,28.107895208963086,79.71582099401267,6.8,226.2628195619642,Mango Leaves Mango Seed Husks
Grapes,1.1605096346431762,0.10270421157267702,0.7668039444990292,22.922413597262615,72.76076150527845,6.4,164.00128633828334,Grapevine Pruning Grapes Skins
Pomegranate,1.5570752106597208,0.16436428376687695,1.3778660407589043,28.23158787950911,68.61728961849484,7.4,173.79101384330497,Pomegranate Peel Pomegranate Waste
Rice,1.672916631029272,0.3403210325487004,1.040502734354436,20.807685191329035,86.11322688616004,6.9,201.64750279466787,Rice Straw Rice Husk
Lentil,2.1851102232757404,0.31563461303770535,1.7913577535102572,22.724038428318202,71.82513511912454,6.5,188.56299079182426,Lentil Straw Lentil Hulls
Blackgram,2.1236436373529233,0.364468684166039,2.184861800294392,24.095970596569032,82.719769201909,6.3,154.62781410580217,Blackgram Straw Blackgram Waste
Rice,1.3260112146140457,0.306403018629565,1.1286399716671665,20.738003359736172,79.49780221267042,6.2,186.16462266703206,Rice Straw Rice Husk
Wheat,2.266756519210761,0.20907928900167638,2.1955732143029856,22.799062637207513,78.24568633846086,6.2,160.89118399851262,Wheat Straw Wheat Chaff
Apple,1.0636967961966388,0.1579914732275363,0.9463638096553751,21.62112884439086,69.34799871934658,7.3,162.3018473723575,Apple Waste Apple Leaves
Jute,2.2321674953984334,0.2081395961879765,1.836480020225999,22.233775898720936,76.43511650644668,7.3,188.2236933747842,Jute Stems Jute Waste
Orange,1.2281781877398015,0.2306349494139364,1.095949467584725,25.945555719625677,68.97894168512923,7.3,190.72153194338054,Orange Peel Orange Waste
Apple,0.8159740477353727,0.14207896437445533,0.9156685995234841,19.93002812881732,62.385213910097995,7.1,169.14820083483923,Apple Waste Apple Leaves
Cotton,2.181760854971068,0.37839329898212,1.2511554932264308,22.884107163371723,86.41871746456673,6.4,182.521343501718,Cotton Stalks Cottonseed Hulls
Papaya,1.778880129618173,0.39160451406432617,1.5283591747136827,26.250954374995832,81.50694156891191,6.1,238.92238200657502,Papaya Leaves Papaya Fruit Waste
Chickpea,2.555792581884381,0.32915390992536975,1.924761487446374,23.625632149100262,77.47813174086889,6.9,182.25851977817766,Chickpea Stalks Chickpea Hulls
Jute,2.3605136137773233,0.2976945009456231,1.9782232989249888,22.210547860165573,78.84742213112573,7.2,160.45203735281015,Jute Stems Jute Waste
Cotton,1.8694659305993246,0.334812316080801,1.5125155232200485,23.294322492500424,82.2044995267633,5.5,181.88950996919664,Cotton Stalks Cottonseed Hulls
Watermelon,1.2843524582995542,0.28122875179109497,1.5699591120544993,21.586718387655,87.67925076888862,5.9,222.25753564368944,Watermelon Rinds Watermelon Waste
Coffee,1.134557254755058,0.17028026097605475,0.9937438363742596,23.424215441482673,84.08899495741768,6.8,243.87661254129705,Coffee Pulp Coffee Husk
Maize,2.0037058080035894,0.14499930642811304,1.9666791578148404,21.180363362753962,79.4460513309054,6.9,221.20789327591848,Corn Stover Corn Cobs Corn Leaves
Mango,1.8542058368638612,0.2166605486276057,1.5633350673359367,27.259752266911853,82.42440761058366,7.0,234.52838354659406,Mango Leaves Mango Seed Husks
Cotton,2.2177558344822823,0.3668718296773649,1.6167802187548317,25.517634218288748,87.02285599144192,6.1,185.06706714726278,Cotton Stalks Cottonseed Hulls
Jute,2.314963562255396,0.26193246598911424,1.6589874200705466,22.419303689195285,78.55111284958255,7.4,174.1388033341326,Jute Stems Jute Waste
Rice,1.588055692671797,0.3082223498156223,1.4876300642333558,20.76354150994051,86.78154814172218,6.3,211.85594162749334,Rice Straw Rice Husk
Blackgram,2.1795508909861883,0.25545777244435974,2.150425893614032,24.65418756010053,75.11988627096167,6.7,160.58941626430902,Blackgram Straw Blackgram Waste
Blackgram,1.761431013290909,0.3939340097267849,1.9560428519774213,23.402867715486035,80.45532477520283,6.0,174.9414826451851,Blackgram Straw Blackgram Waste
Grapes,1.4182327974163171,0.2578641221184559,1.3061767292820936,22.06651145866936,71.52595621773304,7.0,186.64281260446188,Grapevine Pruning Grapes Skins
